ciclo,n_atendidos,espera_media,espera_std,espera_max,servicio_medio,tiempo_servicio_total
7,22,35.82897526388322,15.592050718370576,77.45512548693287,1.7274176977431337,38.00318935034894
8,20,44.494010017988316,15.739426127883524,78.38435355268945,1.9159170615477472,38.31834123095494
9,26,39.82711820475423,28.40616560537677,112.44663442941152,1.4269016828057792,37.09944375295026
10,10,17.779184429366516,3.3207098927665086,22.12379711541422,1.807543443711186,18.07543443711186
11,11,25.966329222050003,3.0344711804120306,34.6189046022605,1.791569783056701,19.70726761362371
12,17,35.78400860341791,8.701958458757115,61.32676802971014,1.364778116349194,23.2012279779363
13,30,47.98941678389965,26.530189665426835,107.60271115042167,1.2027798203031694,36.08339460909508
14,14,26.842611130147215,28.413882447738942,120.5802702167839,1.3647007577267094,19.105810608173933
15,12,13.557024166663533,7.446228811943566,26.501565389638472,1.8835711025826438,22.602853230991727
16,17,21.50741153568784,9.5054770675775,38.24117717514582,1.4452713919717939,24.569613663520496
17,15,25.577438388273134,9.672777367134099,46.95591342601995,2.044878930288085,30.673183954321278
18,8,22.148900153088007,20.766123356216685,60.18791043511396,1.9271076769999373,15.416861415999499
19,7,16.86306689829191,7.560089580364004,23.254620855317967,1.5284845662341886,10.69939196363932
20,11,10.94207279278736,11.163905262730536,31.182042137766757,1.1957631591334295,13.153394750467724
21,13,18.581839679267013,4.708692048247501,23.66498801802163,1.8431304147976564,23.960695392369534
22,11,28.424088851662088,9.070186967885547,45.12628143215329,2.3715499476703203,26.08704942437352
23,13,26.462258102755904,17.289714720751665,66.97589829722506,1.8101646570495293,23.53214054164388
24,15,12.283675105401608,10.19863065678884,42.003843922822625,1.177282057228121,17.659230858421815
25,27,16.39588579739862,6.4909148291086325,30.993701152303174,1.6611936380727843,44.85222822796518
26,10,26.925260675932737,6.7862138236277305,35.100619312082245,1.8717042634321674,18.717042634321675
27,24,18.58860915530762,6.173801545519282,36.56015344844491,1.2439594297859666,29.8550263148632
28,15,22.781201199938778,8.549883343151004,37.6203379433216,1.7188265450699862,25.782398176049792
29,25,21.303511731352156,10.172878653063705,43.21998552891,1.466300872389489,36.657521809737226
30,9,25.3209382241534,4.863253474928796,34.69752791050587,1.9398958110078013,17.45906229907021
31,14,26.487466752558994,8.490698168344585,45.649110693244666,1.3891347395737033,19.447886354031844
32,12,22.964213048154193,7.326948426861727,39.883479020232016,1.0120515082048283,12.144618098457938
33,24,21.189630188958215,9.90703052501021,45.90318108633528,1.5457734078043457,37.0985617873043
34,13,22.863683985844144,8.657710189114837,39.704230658271854,2.0311833979855103,26.405384173811633
35,8,30.629664819407594,12.796776999278086,47.84109550970129,1.851643557103149,14.813148456825193
36,21,27.868788543675876,9.244167747237013,48.991087714065316,2.116410539446502,44.444621328376535
37,24,34.124289697130166,14.488778294406155,68.19814746701627,1.1052227278773417,26.5253454690562
38,19,23.742130784066877,13.86440694925205,62.05743935544433,1.5505663852419445,29.460761319596944
39,12,13.608172867836023,11.397533891967875,36.34175436672467,1.571158867557207,18.853906410686484
40,10,9.368061011702958,6.663390829444238,21.509677047533387,1.7650871635400456,17.650871635400456
41,12,15.781542228714557,3.8073223242591894,27.1484808366954,1.7512760022609515,21.01531202713142
42,11,27.666080835264356,13.401563833252359,47.69685365147825,1.8591079372255377,20.450187309480913
43,11,8.194402990087962,5.877087942946472,20.33128736277422,1.1164406352285672,12.28084698751424
44,14,9.343678304984353,6.964963041566837,17.259526616900985,0.892573576884191,12.496030076378675
45,7,19.697965787097733,2.484502690519582,23.165694958281165,2.2243775249906848,15.570642674934792
46,24,18.982306915666754,7.248894071139579,41.45753917534557,1.7303555318529307,41.528532764470334
47,23,35.5890997951573,19.01377258537887,82.85611249451404,1.6185560189186383,37.22678843512868
48,13,13.819765961005137,10.082770449601925,38.73483737885181,1.8099450998982636,23.529286298677427
49,21,27.099334405371078,8.426169716115401,46.19930114796307,2.1743065010256677,45.660436521539026
50,27,43.94703066522597,13.910826513361235,82.51210995264273,1.4280751243545409,38.5580283575726
51,27,54.258346390058925,25.275775141399492,117.59322522099501,1.5121397712783604,40.82777382451573
52,34,41.44051311889468,18.095904600033364,113.80213753136013,1.2749196731067545,43.34726888562965
53,21,51.01462347943652,11.465854874564117,76.9994134328399,1.9396158622170487,40.731933106558024
54,36,64.28462496714846,38.31565241260184,195.6572856030084,1.282865124260512,46.183144473378434
55,21,46.66491442300033,32.88660527684213,120.70543469529275,1.3364557775603199,28.065571328766715
56,15,14.661318023562702,11.329543981155172,36.39331715298431,1.1457426164421494,17.18613924663224
57,10,11.870032077507995,8.343306777966307,22.55133438517896,1.526984267659555,15.269842676595552
58,12,23.474558051086017,4.181218336332421,29.76973724990421,1.4747946786051036,17.697536143261242
59,18,13.987310499765751,7.591411346387728,30.28955099504492,1.3775566238661445,24.796019229590602
60,6,0.6359897332805909,0.3994264255623697,1.259050430111074,1.2818875267054295,7.691325160232577
61,10,13.480862233513381,7.026553658598171,21.581134077745446,1.9995576701262525,19.995576701262525
62,9,3.391945818332917,3.5752180397839566,11.667445690344266,1.3636950599747861,12.273255539773075
63,16,27.205499147616962,16.535115936761375,75.38740865968066,1.7373351295651411,27.797362073042258
64,8,39.04283609908708,26.144051505703647,99.60021062128362,2.028740329843751,16.229922638750008
65,24,31.975669014017438,17.627803427171745,78.30165267905068,1.7363111690674762,41.67146805761943
66,21,20.463621460585014,9.667935570497136,46.248972659206174,1.363127889137707,28.625685671891848
67,3,38.8922105358879,7.811379135466568,45.82924401136006,1.5587420548975406,4.676226164692622
